Slide ID,Slide,Pillar ID (conceptLibrary.ts),Concept IDs within pillar,How to use it
S151,Budget Summary,economics-operations,budget,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S152,Cost per Seat,economics-operations,cost-per-seat,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S153,BOQ Highlights,economics-operations,budget lifecycle-cost,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S154,Value Engineering Options,economics-operations,budget durability,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S155,Project Timeline,economics-operations,operational-efficiency,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S156,Delivery Model & Team,economics-operations,operational-efficiency,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S157,Site Safety & Quality,safety-compliance,life-safety,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S158,Operations & Handover,economics-operations,operational-efficiency lifecycle-cost,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S159,Warranty & Post-Handover,economics-operations,durability lifecycle-cost,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S160,Risks & Assumptions,economics-operations,budget,Prefill this slide's lead and points from CONCEPT_DETAIL for these concept ids.
S161,Next Steps,,,No framework mapping — project content only.
S162,Thank You / Contact,,,No framework mapping — project content only.
