Slide ID,Section,Section name,Slide,Purpose,Suggested title,What goes on it,Presenta layout,Slide style,Required inputs / assets,Optional inputs,Baseline,Order,Notes
S043,03,Strategy & Concept,Concept Narrative,Unpack the big idea into the handful of moves that deliver it.,{concept_name},"Lead line, 3-5 scannable points, one supporting visual.",concept,standard,Concept narrative; a concept image,Diagram of the concept logic,M,31,This is the standard conceptSlide() shape — lead plus points plus image slot.
S044,03,Strategy & Concept,Mood Board,"Set the visual register before any specific room is shown, so renders land as expected rather than as a surprise.",The feeling,"9-12 reference images in a grid: material, light, texture, spatial character.",concept,design,Reference images,Per-image caption naming what it is being referenced for,R,32,GAP: no image-grid layout. freeform works but every image is placed by hand.
S045,03,Strategy & Concept,Design Cues / Keywords,"Bridge from the client's brand and aspirations to the design language, so the leap is visible and traceable.",Design cues,Keywords paired with the aspiration and brand element each one derives from.,freeform,standard,Design keywords,Source imagery per cue,O,33,Pattern exists as ECOM_SLIDE_3_ELEMENTS — explicitly the 'bringing aspiration and brand together' slide.
S046,03,Strategy & Concept,Concept Applied - Option Compare,"Let the client see the concept against the alternative, and choose rather than merely accept.",Option A / Option B,"Two treatments of the same space, revealed by a draggable slider.",material-compare,standard,Two comparable images,A label per option,O,34,Also the right layout for refurbishment before/after.
S047,03,Strategy & Concept,Design Principles,Give the client a short rulebook they can hold later decisions against.,Design principles,"4-6 principles, one line each, written as testable rules.",merge-diagram,standard,Principle list,An example of each applied,O,35,"Write them so a later decision can actually fail one. 'Daylight for people, core for rooms' passes that test; 'thoughtful design' does not."
S048,03,Strategy & Concept,Workplace Strategy Model,"Name the operating model — assigned, shared, activity-based or hybrid — because everything downstream depends on it.",How the workplace will work,"The chosen model, the ratio it implies, what it requires of people and of technology.",concept,standard,Chosen workplace model,Change-management outline; booking-tool choice,O,36,"Any model other than fully-assigned needs a change-management commitment on this slide, or it will not survive contact with staff."
S049,03,Strategy & Concept,Space Standards / Kit of Parts,"Fix the repeatable components once, so the plan is consistent and the BOQ is predictable.",Kit of parts,"Workstation sizes, cabin grades, room types, with dimensions and quantities.",title-content,standard,Space standards schedule,Dimensioned typical layouts,O,37,Essential for GCCs conforming to a global standard and for operators repeating a centre format.
S050,03,Strategy & Concept,Concept-to-Space Map,"Show where each concept move actually lands on the plan, so the concept reads as a plan and not as a poster.","Concept, applied",Key plan with hotspots; each opens the concept driving that space.,linked-views,standard,Key plan; concept-to-zone mapping,Per-zone concept summary,O,38,Use ViewHotspot.spaceDetail.concept — this is precisely what the space-detail overlay was built for.
S060,04,Planning,Section Divider - Planning,Mark the shift from idea to plan.,The plan,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,R,39,
S061,04,Planning,Space Programme / Area Statement,Account for every square foot — the slide procurement and finance will actually read.,Area statement,"Zone, space type, quantity, unit area, total area, percentage of the plate, with a grand total.",linked-views,standard,Area programme,Benchmark comparison per line,M,40,"GAP: no standalone table layout. Today this rides on LinkedView.seatingZones, which forces it next to a plan."
S062,04,Planning,Zoning Strategy,"Show the floor resolved into zones before any furniture, so the logic is judged on its own.",Zoning,"Colour-coded zones over the plate, with the adjacency logic stated.",linked-views,standard,Floor plan; zoning overlay,Per-zone area and headcount,M,41,Use LinkedViewStage to switch between Zoning and Layout on one image — that is what stages are for.
S063,04,Planning,Adjacency Diagram,"Justify what sits next to what, from interaction frequency rather than convenience.",Adjacencies,"Bubble or matrix diagram of departments, weighted by interaction frequency.",merge-diagram,standard,Department interaction data,Interaction frequency survey,R,42,Strongest when backed by an actual interaction survey rather than an org chart.
S064,04,Planning,Circulation Strategy,Show that people can move without walking through someone else's concentration.,Circulation,"Primary and secondary routes over the plan, with egress distances and pinch points.",linked-views,standard,Floor plan; circulation overlay,Egress distances; footfall estimates,R,43,Overlay egress compliance here and the fire-safety slide gets much shorter.
S065,04,Planning,Key Plan / Floor Plate,Give the audience the reference plan every later slide will point back to.,Key plan,"The full plan, labelled, with a legend and north point.",linked-views,standard,Final floor plan,Room numbering; a legend,M,44,"This is the view every hotspot and key-plan crop later refers to. Establish it once, clearly."
S066,04,Planning,Furniture Layout Plan,"Prove the headcount actually fits, at real furniture dimensions.",Furniture layout,Fully furnished plan with workstation counts per zone.,linked-views,standard,Furniture layout drawing,Per-zone counts; furniture legend,M,45,The count on this plan must match the area statement exactly. A mismatch is noticed immediately.
S067,04,Planning,Seating Capacity / Occupancy,"Reconcile what was required against what was achieved, zone by zone — the number the client checks hardest.",Seating capacity - achieved {achieved_count} pax,"Zone-grouped Area / Required / Achieved table beside the plan, hover-linked to the hotspots.",linked-views,standard,Required and achieved counts per zone; key plan,Notes per row; Excel import of the capacity sheet,M,46,"Fully built: LinkedView.seatingZones with two-way hover, plus Excel import via parseSeatingWorkbook."
S068,04,Planning,Workstation Mix & Ratios,"Explain the desk mix and the sharing ratio in one place, with the data behind it.",Workstation mix,"Counts by workstation type, the sharing ratio, and sq ft per person.",title-stats,standard,Workstation counts by type,Sharing ratio; benchmark comparison,R,47,"Tie the ratio back to the attendance slide, or it reads as an assumption."
S069,04,Planning,Meeting Room Mix,"Show the meeting rooms were sized from meeting patterns, not from habit.",Meeting room mix,"Rooms by capacity band, seats-per-head ratio, the booking data behind it.",title-stats,standard,Meeting room schedule,Meeting-pattern or calendar data,O,48,Calendar data almost always shows too many large rooms and too few 2-4 person ones. Say so.
S070,04,Planning,Stacking Plan,Resolve which department sits on which floor before anyone argues about desks.,Stacking,Floor-by-floor department allocation with headcount per floor.,linked-views,standard,Floor allocation; headcount per floor,Vertical circulation strategy,O,49,Only meaningful for multi-floor projects — suppress it entirely on single-floor ones.
S071,04,Planning,Zone Walkthrough,"Let the client interrogate the plan live — click any space and see the concept, render and occupancy that justify it.",Explore the plan,"Key plan with a hotspot per space; each opens concept, renders, walkthrough and occupancy.",linked-views,standard,Key plan; per-zone renders,Per-zone walkthrough video; concept summary; BOQ note,R,50,Fully built: ViewHotspot.spaceDetail plus SpaceDetailOverlay. The strongest live-pitch moment in the product.
S080,05,Design - Space by Space,Section Divider - Design,Mark the shift from plan to experience.,The design,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,R,51,
S081,05,Design - Space by Space,Reception & Arrival,Show the first thirty seconds of the building — the only space every visitor will judge.,Reception,"Hero render, arrival sequence, reception desk, branding, seating, security interface.",title-content,design,Reception render,Material callouts; a second angle; branding detail,M,52,"Always the strongest render in the deck. If only one image is ready, it should be this one."
S082,05,Design - Space by Space,Client Waiting / Lounge,"Show where visitors wait, and that waiting is not an afterthought.",Visitor lounge,"Render, seating arrangement, refreshment provision, acoustic and visual separation from staff.",title-content,design,Lounge render,Furniture specification; material callouts,O,53,Escalate where the client suite is the commercial point of the office.
S083,05,Design - Space by Space,Open Workspace / Workhall,Show where most people spend most of their time — the space the fit-out is really for.,Workspace,"Render, workstation type, desk spacing, storage, daylight access, acoustic treatment.",title-content,design,Workhall render,Workstation detail; a second angle; dimensions,M,54,Show it at realistic occupancy. An empty workhall render invites doubt about whether it actually fits.
S084,05,Design - Space by Space,Cabins & Leadership,Resolve the hierarchy question visually before it is negotiated person by person.,Cabins and leadership offices,"Render, cabin grades and sizes, glazing and privacy treatment, storage.",title-content,design,Cabin render,Cabin-grade schedule; dimensions,R,55,Show the grades as a published rule. Ad-hoc cabin sizing is where fit-out programmes go to die.
S085,05,Design - Space by Space,Meeting Rooms,Show the everyday rooms in the mix and the AV standard each one carries.,Meeting rooms,"Renders of 2-3 room sizes, table configuration, AV, acoustic and glazing treatment.",title-content,design,Meeting room render,AV specification; acoustic ratings,M,56,State the AV standard per size band here and the technology slide gets much shorter.
S086,05,Design - Space by Space,Boardroom,Show the room where the company's most consequential meetings happen.,Boardroom,"Hero render, table, AV and video-conference setup, acoustic privacy, materiality.",title-content,design,Boardroom render,AV specification; a second angle; material detail,O,57,"Usually the second-highest-value render after reception. Premium and above, it is mandatory."
S087,05,Design - Space by Space,Huddle & Phone Booths,"Show where calls happen, which is the single most common complaint in every open-plan office.",Huddle rooms and phone booths,"Render, quantity and distribution, acoustic rating, ventilation and power.",title-content,design,Booth render or product image,Acoustic ratings; distribution on plan,O,58,Quantity matters more than appearance. Give the booths-per-100-seat ratio explicitly.
S088,05,Design - Space by Space,Collaboration & Breakout,Show the informal settings that make the desk count defensible.,Collaboration and breakout,"Render, settings variety, writable and display surfaces, power, acoustic zoning.",title-content,design,Breakout render,Settings menu; furniture specification,R,59,Escalates to mandatory under the Collaborative (ABW) concept — it is the concept's main evidence.
S089,05,Design - Space by Space,Cafeteria & Pantry,Show the space that carries the most people per square foot and most of the social life.,Cafeteria,"Render, seating capacity, servery and pantry provision, peak-load sizing, dual use as town hall.",title-content,design,Cafeteria render,Seating count; peak-load calculation; servery detail,M,60,"Size for the peak sitting, not the average. Shift-based workplaces need the overlap number."
S090,05,Design - Space by Space,Training / Town Hall,"Show where the whole office gathers, and prove the room can actually hold them.",Training and town hall,"Render, capacity in each configuration, AV and acoustics, operable partition strategy.",title-content,design,Training room render,Capacity per configuration; AV specification,O,61,Multi-configuration capacity is the point. Show at least two layouts of the same room.
S091,05,Design - Space by Space,Wellness & Mother's Room,Show the provision that signals the workplace takes care seriously — and which is often a statutory requirement.,Wellness rooms,"Render, mother's room, quiet and prayer rooms, first aid, privacy and access control.",title-content,design,Wellness room render,Provision schedule; statutory requirement reference,O,62,A mother's room is statutory at most Indian workplace sizes — check the threshold and state it.
S092,05,Design - Space by Space,Washrooms,"Show the provision, the fixture count and the accessibility compliance.",Washrooms,"Render, fixture count against code, accessible provision, material and maintenance strategy.",title-content,design,Washroom render or fixture schedule,Code compliance calculation,O,63,Often landlord-provided. Include only where the fit-out actually covers it.
S093,05,Design - Space by Space,"Support, Utility & Server",Account for back-of-house so it is not discovered as a shortfall on site.,Support and utility,"Print and copy, storage, lockers, housekeeping, UPS and server, with areas.",title-content,design,Support space schedule,Server room services requirement,O,64,Under-provisioned back-of-house is the most common post-handover complaint. Give it real numbers.
S094,05,Design - Space by Space,Trading / Dealing Floor,"Show the specialist floor that drives the power, cooling, acoustic and compliance load of the whole project.",Dealing floor,"Render, desk configuration, screen arrangement, power and cooling, acoustic and recording compliance.",title-content,design,Dealing floor render; desk specification,Power and cooling load; compliance requirement,O,65,BFSI only. Services load here typically governs the entire electrical design.
S095,05,Design - Space by Space,Lab / Workshop Interface,"Show where office meets lab — the boundary that governs services, access and safety.",Lab interface,"Render, transition and gowning zone, visual connection, services and access control boundary.",title-content,design,Lab interface render; lab adjacency,Services load; access control zoning,O,66,"R&D, pharma and life sciences only. Confirm services capacity before committing to any adjacency."
S096,05,Design - Space by Space,Studio / Content Space,Show the production space that doubles as the brand's own set.,Content studio,"Render, shoot setup, lighting rig, acoustic treatment, edit suite adjacency, storage.",title-content,design,Studio render,Lighting and AV specification; acoustic ratings,O,67,"Media, creative and D2C only. Acoustic isolation from the open plan is the hard part."
S097,05,Design - Space by Space,Community & Event Space,Show the space that carries an operator's community programme and its events revenue.,Community space,"Render, event configurations, capacity per setup, bar or servery, AV, after-hours access.",title-content,design,Community space render,Capacity per configuration; AV specification,O,68,"Managed-workspace operators only, where it is mandatory — it is a revenue line, not an amenity."
S098,05,Design - Space by Space,Experience / Demo Zone,Show the curated visitor journey that is the entire point of a showcase space.,Experience zone,"Render, the visitor route, demo stations, AV and immersion, dwell times, reveal sequence.",title-content,design,Experience zone render; visitor route,AV specification; content plan; dwell timings,O,69,Experience centres and innovation hubs only. Sequence carries more weight here than any single render.
S099,05,Design - Space by Space,Operations Control Tower,Show the 24x7 nerve centre and what running it around the clock demands.,Control tower,"Render, screen wall, desk configuration, shift handover space, 24x7 amenity provision.",title-content,design,Control room render,Screen wall specification; shift pattern,O,70,"E-commerce and logistics only. Size the amenities for shift overlap, not for headcount."
S100,05,Design - Space by Space,Public Interface Counter,"Show where the public is received and served, and how they are kept separate from staff areas.",Public interface,"Render, counter arrangement, queuing and waiting, accessibility, staff-side separation.",title-content,design,Public counter render,Queuing calculation; accessibility compliance,O,71,"Government, PSU and institutional only. Queue length and accessible counter height are the checkable items."
S110,06,Materials & Detail,Section Divider - Materials,Mark the shift from space to substance.,Materials and detail,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,O,72,
S111,06,Materials & Detail,Material Palette,"Fix what the workplace is made of, so renders can be trusted and the BOQ has a basis.",Material palette,"Material swatches with names, application, finish and maintenance note.",concept,design,Material swatch images; material schedule,Supplier references; maintenance regime,M,73,"Name application per material. An unlabelled swatch board is decoration, not a specification."
S112,06,Materials & Detail,Colour Palette,Fix the colour logic and its relationship to the client's brand.,Colour,"Primary, secondary and accent colours, where each is applied, brand derivation.",concept,standard,Colour palette,Brand colour reference; application map,O,74,"Tie every colour back to the brand landscape slide, or it reads as arbitrary."
S113,06,Materials & Detail,Furniture Selection,"Show the actual furniture, since it is what people touch and a large share of the budget.",Furniture,"Product images by category, with dimensions, finish and ergonomic specification.",concept,standard,Furniture product images; specification,Supplier and lead time; alternates,O,75,"Lead times belong here, not only on the programme slide — furniture is the usual critical path."
S114,06,Materials & Detail,Lighting Design,"Show the light, because it governs how every render will actually look when built.",Lighting,"Ambient, task and feature layers, fitting selection, lux levels, controls.",concept,standard,Lighting layout; fitting selection,Lux calculations; control strategy,R,76,Lux targets per zone make this checkable rather than decorative.
S115,06,Materials & Detail,Acoustic Strategy,"Show how the open plan will be survivable, which is the most common cause of post-handover complaint.",Acoustics,"Ceiling and wall treatments, partition ratings, masking, planning-level separation.",concept,standard,Acoustic treatment schedule,NRC and STC ratings; acoustic zoning plan,O,77,"Escalates to mandatory under Industrial/Raw, where exposed soffits remove the usual absorption."
S116,06,Materials & Detail,Signage & Wayfinding,Show that people can find their way without being escorted.,Wayfinding,"Signage family, hierarchy, typography, materials, key locations on plan.",concept,standard,Signage design,Signage location plan; typography specification,O,78,Escalates on large floor plates and anywhere the public is received.
S117,06,Materials & Detail,Graphics & Storytelling,Use the walls to say something specific about this company rather than a stock motivational line.,Graphics and storytelling,"Graphic locations, content themes, the story each wall carries, materials.",concept,standard,Graphic concepts,Content plan; heritage or archive material,O,79,Content sourcing is usually the bottleneck. Name who supplies it and by when.
S118,06,Materials & Detail,Planting & Greenscaping,"Show the planting as a designed, maintained system rather than pots added at handover.",Planting,"Species by condition, planter design, locations on plan, irrigation and maintenance.",concept,standard,Planting plan; species selection,Irrigation strategy; maintenance contract scope,O,80,Mandatory under the Biophilic concept. Always state who maintains it and how often.
S119,06,Materials & Detail,Art Programme,"Show the commissioned pieces, which at flagship grade carry much of the identity.",Art,"Pieces and locations, artists, commissioning approach, budget allocation.",concept,design,Art references or commissions,Artist profiles; budget allocation,O,81,Luxury flagship and Heritage projects. Commissioning lead times are long — put them on the programme.
S120,06,Materials & Detail,Ceiling & Flooring,"Fix the two largest continuous surfaces, which set the acoustic and maintenance baseline.",Ceiling and flooring,"Ceiling systems and heights by zone, floor finishes by zone, transitions.",concept,standard,Ceiling and flooring schedule,Reflected ceiling plan; transition details,O,82,Heights per zone matter more than the finish. Show them where the plate is tight.
S121,06,Materials & Detail,Detail Junctions,"Show that the detailing has been resolved, not left to the site to invent.",Details,"Key junction details: skirting, reveals, glazing, ceiling perimeter, joinery edges.",concept,standard,Detail drawings,3D detail views,O,83,"Premium and above, where the junction quality is most of what is being paid for."
S130,07,Technical & Compliance,Section Divider - Technical,Mark the shift from appearance to performance.,Technical,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,O,84,
S131,07,Technical & Compliance,MEP & Services Coordination,Show the services are coordinated with the architecture rather than discovered to clash on site.,Services coordination,"HVAC zoning, electrical distribution, plumbing, fire systems, ceiling coordination.",title-content,standard,MEP scope; base-build capacity,Coordinated services drawings; load calculations,O,85,Name any base-build capacity shortfall explicitly. This is where late cost shocks originate.
S132,07,Technical & Compliance,AV & Technology Standard,"Fix what technology every room type gets, so nothing is negotiated room by room during delivery.",AV standard,"Room-type-by-room-type AV specification, display sizes, camera, audio, control.",concept,standard,AV specification by room type,Platform standard; integration requirements,O,86,Mandatory for GCCs — the parent's platform standard usually dictates it entirely.
S133,07,Technical & Compliance,"IT, Power & Data",Show the infrastructure that everything else depends on.,Power and data,"Power distribution, data cabling, wifi coverage, UPS and server provision, charging.",title-content,standard,Power and data requirements,Server room specification; wifi heat map,O,87,"Redundancy requirements belong here for GCC, BFSI and 24x7 operations."
S134,07,Technical & Compliance,Smart Workplace,"Show the sensing and booking layer, and be explicit about what it does with people's data.",Smart workplace,"Room booking, occupancy sensing, digital wayfinding, analytics, the privacy position.",concept,standard,Smart workplace scope,Platform selection; data and privacy policy,O,88,"Occupancy sensing is a privacy conversation. Involve HR and Legal before it is specified, and say so here."
S135,07,Technical & Compliance,Fire & Life Safety,"Show compliance, because it can veto the plan and usually arrives late.",Fire and life safety,"Egress routes and travel distances, detection and suppression, compartmentation, refuge.",title-content,standard,Fire strategy; egress calculations,Approval status; consultant sign-off,R,89,"If the circulation slide already carries egress distances, this slide can be short."
S136,07,Technical & Compliance,Accessibility,"Show the workplace works for everyone, and meets the standard it is held to.",Accessibility,"Accessible routes, door widths, clearances, accessible washrooms and furniture, signage.",title-content,standard,Accessibility compliance review,Standard being applied; audit results,R,90,Name the standard being applied. 'Accessible' without a named standard is unverifiable.
S137,07,Technical & Compliance,Security & Access Control,"Show the access hierarchy, from public through staff to restricted.",Security and access,"Zones by access level on plan, control points, visitor management, CCTV coverage.",linked-views,standard,Access control zoning; key plan,CCTV layout; visitor management process,O,91,"Mandatory for BFSI, R&D and GCC. Show it as a zoning overlay, not as a list."
S138,07,Technical & Compliance,Sustainability Approach,Show environmental performance as a design position rather than a disclaimer.,Sustainability,"Material selection, energy and water strategy, reuse, waste and indoor health.",concept,standard,Sustainability strategy,Certification target; material provenance data,O,92,Escalates to mandatory under the Sustainable/Certified Green concept.
S139,07,Technical & Compliance,Green Certification Pathway,Commit to a rating and show the credits that get there.,Certification pathway,"Target rating, credit scorecard, gaps, what the client must do and by when.",title-stats,standard,Target certification and level,Credit-by-credit scorecard; consultant appointment,O,93,Certification changes programme and budget. Commit early or do not claim it at all.
S150,08,Commercials & Delivery,Section Divider - Commercials,Mark the shift from design to money and time.,Commercials and delivery,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,R,94,
S151,08,Commercials & Delivery,Budget Summary,"Show the number, broken down enough to be interrogated.",Budget,"Cost by package — civil, joinery, MEP, furniture, AV, other — with totals and a contingency line.",title-stats,standard,Cost estimate by package,Benchmark comparison; contingency assumptions,M,95,GAP: no cost-table layout. title-stats handles 3-4 headline figures but not a full package breakdown.
